filename,Couleur 1,Couleur 2,Personnage,Sexe,Faction,Fruits démon
Data/Shanks/52.png_inverted.png,silver,darkslategray,Shanks,M,Pirate,N
Data/Shanks/4.png_inverted.png,powderblue,darkslategray,Shanks,M,Pirate,N
Data/Shanks/5.png,sienna,black,Shanks,M,Pirate,N
Data/Shanks/1.png,darkslategray,darkgray,Shanks,M,Pirate,N
Data/Shanks/3.png,darkslategray,rosybrown,Shanks,M,Pirate,N
Data/Nami/141.png,whitesmoke,darkslategray,Nami,F,Pirate,N
Data/Nami/143.png,whitesmoke,darkslategray,Nami,F,Pirate,N
Data/Nami/4.jpg,peru,seagreen,Nami,F,Pirate,N
Data/Nami/137.png,snow,darkslategray,Nami,F,Pirate,N
Data/Nami/1.jpeg_inverted.png,darkslateblue,darkslategray,Nami,F,Pirate,N
Data/Nami/1.jpeg,rosybrown,bisque,Nami,F,Pirate,N
Data/Nami/142.png,black,whitesmoke,Nami,F,Pirate,N
Data/Nami/3_inverted.png,darkslategray,cadetblue,Nami,F,Pirate,N
Data/Nami/5.jpg,darkslategray,burlywood,Nami,F,Pirate,N
Data/Nami/139.png,whitesmoke,darkslategray,Nami,F,Pirate,N
Data/Nami/2.jpg_inverted.png,lightblue,steelblue,Nami,F,Pirate,N
Data/Nami/5.jpg_inverted.png,midnightblue,rosybrown,Nami,F,Pirate,N
Data/Nami/2.jpg,darksalmon,saddlebrown,Nami,F,Pirate,N
Data/Nami/4.jpg_inverted.png,rosybrown,steelblue,Nami,F,Pirate,N
Data/Nami/3.png,silver,sienna,Nami,F,Pirate,N
Data/Garp/images (3).jpeg,whitesmoke,rosybrown,Garp,M,Marine,N
Data/Garp/f629ed10f38e8f28c6332cb7d90c9fc9.jpg,black,whitesmoke,Garp,M,Marine,N
Data/Garp/maxresdefault.jpg,burlywood,saddlebrown,Garp,M,Marine,N
Data/Garp/téléchargement.jpeg,lightsteelblue,darkslategray,Garp,M,Marine,N
Data/Garp/7.jpg,dimgray,plum,Garp,M,Marine,N
Data/Garp/Monkey_D._Garp_Anime_Avant_Ellipse_Infobox.png,slategray,gainsboro,Garp,M,Marine,N
Data/Garp/341.jpg,whitesmoke,darkslategray,Garp,M,Marine,N
Data/Garp/images.jpeg,darkslateblue,lightgray,Garp,M,Marine,N
Data/Garp/téléchargement (1).jpg,lavender,black,Garp,M,Marine,N
Data/Garp/Garp.jpg,lightsteelblue,gray,Garp,M,Marine,N
Data/Garp/35a18bffa88c1a8ff794f654c68770c7.png,lightgray,darkslategray,Garp,M,Marine,N
Data/Garp/2e24ee68f5a6321a97b34f9cf4893b5b.png,whitesmoke,black,Garp,M,Marine,N
Data/Luffy/[0.128195]inverted.jpg,thistle,black,Luffy,M,Pirate,Paramecia
Data/Luffy/[0.0295078]inverted.jpg,black,silver,Luffy,M,Pirate,Paramecia
Data/Luffy/22.jpg,whitesmoke,black,Luffy,M,Pirate,Paramecia
Data/Luffy/[0.1245762]inverted.jpg,black,lightgray,Luffy,M,Pirate,Paramecia
Data/Luffy/[0.0075707]inverted.jpg,silver,dimgray,Luffy,M,Pirate,Paramecia
Data/Luffy/[0.00199476]inverted.jpg,midnightblue,skyblue,Luffy,M,Pirate,Paramecia
Data/Luffy/25.jpg,whitesmoke,black,Luffy,M,Pirate,Paramecia
Data/Luffy/8.jpg,maroon,tan,Luffy,M,Pirate,Paramecia
Data/Luffy/7.jpg,black,burlywood,Luffy,M,Pirate,Paramecia
Data/Luffy/[0.014729]inverted.jpg,lightgreen,black,Luffy,M,Pirate,Paramecia
Data/Luffy/[0.1278293]inverted.jpg,darkslategray,mediumaquamarine,Luffy,M,Pirate,Paramecia
Data/Luffy/9.jpg,saddlebrown,burlywood,Luffy,M,Pirate,Paramecia
Data/Luffy/10.jpg,silver,darkslateblue,Luffy,M,Pirate,Paramecia
Data/Luffy/24.jpg,whitesmoke,black,Luffy,M,Pirate,Paramecia
Data/Luffy/6.jpg,brown,darkgray,Luffy,M,Pirate,Paramecia
Data/Brook/44.png,whitesmoke,black,Brook,M,Pirate,Paramecia
Data/Brook/137.png,silver,black,Brook,M,Pirate,Paramecia
Data/Brook/190_inverted.png,steelblue,gainsboro,Brook,M,Pirate,Paramecia
Data/Brook/194_inverted.png,dimgray,powderblue,Brook,M,Pirate,Paramecia
Data/Brook/159_inverted.png,steelblue,lavender,Brook,M,Pirate,Paramecia
Data/Brook/131.png,black,lavender,Brook,M,Pirate,Paramecia
Data/Brook/66.png,darkslategray,silver,Brook,M,Pirate,Paramecia
Data/Brook/10.png,rosybrown,black,Brook,M,Pirate,Paramecia
Data/Brook/61_inverted.png,steelblue,whitesmoke,Brook,M,Pirate,Paramecia
Data/Brook/173_inverted.png,lightgray,teal,Brook,M,Pirate,Paramecia
Data/Brook/5.png,snow,dimgray,Brook,M,Pirate,Paramecia
Data/Brook/1.png,darkslategray,darkslategray,Brook,M,Pirate,Paramecia
Data/Brook/66_inverted.png,lightgray,darkslategray,Brook,M,Pirate,Paramecia
Data/Brook/26.png,dimgray,burlywood,Brook,M,Pirate,Paramecia
Data/Jinbei/4.jpg,cornflowerblue,midnightblue,Jinbei,M,Pirate,N
Data/Jinbei/1.jpg_inverted.png,black,silver,Jinbei,M,Pirate,N
Data/Jinbei/130.jpg,whitesmoke,darkslategray,Jinbei,M,Pirate,N
Data/Jinbei/3.png_inverted.png,ghostwhite,slategray,Jinbei,M,Pirate,N
Data/Jinbei/14.jpg,skyblue,dimgray,Jinbei,M,Pirate,N
Data/Jinbei/15.jpg,white,black,Jinbei,M,Pirate,N
Data/Jinbei/17.jpg,whitesmoke,darkslategray,Jinbei,M,Pirate,N
Data/Jinbei/1.jpg,gainsboro,darkolivegreen,Jinbei,M,Pirate,N
Data/Jinbei/43.jpg,black,whitesmoke,Jinbei,M,Pirate,N
Data/Jinbei/2.png_inverted.png,mediumaquamarine,black,Jinbei,M,Pirate,N
Data/Jinbei/14.jpg_inverted.png,saddlebrown,darkgray,Jinbei,M,Pirate,N
Data/Jinbei/4.jpg_inverted.png,palegoldenrod,sienna,Jinbei,M,Pirate,N
Data/Jinbei/3.png,black,dimgray,Jinbei,M,Pirate,N
Data/Jinbei/133.png,lavender,darkslategray,Jinbei,M,Pirate,N
Data/Akainu/47.png_inverted.png,mediumaquamarine,darkslategray,Akainu,M,Marine,Logia
Data/Akainu/35.png,darkgray,darkslategray,Akainu,M,Marine,Logia
Data/Akainu/5.png_inverted.png,darkslategray,cadetblue,Akainu,M,Marine,Logia
Data/Akainu/29.png,tan,saddlebrown,Akainu,M,Marine,Logia
Data/Akainu/49.png_inverted.png,silver,dimgray,Akainu,M,Marine,Logia
Data/Akainu/9.png_inverted.png,black,skyblue,Akainu,M,Marine,Logia
Data/Akainu/92.png,gainsboro,darkslategray,Akainu,M,Marine,Logia
Data/Akainu/5.png,sienna,silver,Akainu,M,Marine,Logia
Data/Akainu/8.png_inverted.png,darkslategray,lightblue,Akainu,M,Marine,Logia
Data/Akainu/37.png,darkslategray,darkgray,Akainu,M,Marine,Logia
Data/Akainu/3.png,lightgray,darkslategray,Akainu,M,Marine,Logia
Data/Franky/7.png,steelblue,rosybrown,Franky,M,Pirate,N
Data/Franky/157_inverted.png,black,lightgray,Franky,M,Pirate,N
Data/Franky/4.png,whitesmoke,gray,Franky,M,Pirate,N
Data/Franky/164.png,lavender,darkslategray,Franky,M,Pirate,N
Data/Franky/158_inverted.png,black,gainsboro,Franky,M,Pirate,N
Data/Franky/3_inverted.png,darkgray,sienna,Franky,M,Pirate,N
Data/Franky/4_inverted.png,cadetblue,black,Franky,M,Pirate,N
Data/Franky/156.jpg,whitesmoke,darkslategray,Franky,M,Pirate,N
Data/Franky/157.png,whitesmoke,darkslategray,Franky,M,Pirate,N
Data/Franky/2.png,darkgray,dimgray,Franky,M,Pirate,N
Data/Franky/1_inverted.png,darkslategray,lightsteelblue,Franky,M,Pirate,N
Data/Franky/7_inverted.png,indianred,slategray,Franky,M,Pirate,N
Data/Franky/1.png,darkgray,saddlebrown,Franky,M,Pirate,N
Data/Franky/3.png,darkgray,darkolivegreen,Franky,M,Pirate,N
Data/Franky/2_inverted.png,darkgray,dimgray,Franky,M,Pirate,N
Data/Chopper/47.png_inverted.png,black,cadetblue,Chopper,M,Pirate,Zoan
Data/Chopper/5.png_inverted.png,black,lightslategray,Chopper,M,Pirate,Zoan
Data/Chopper/31.png,gainsboro,darkkhaki,Chopper,M,Pirate,Zoan
Data/Chopper/23.png,lime,lightpink,Chopper,M,Pirate,Zoan
Data/Chopper/15.png,darkslategray,darkkhaki,Chopper,M,Pirate,Zoan
Data/Chopper/6.png,indianred,tan,Chopper,M,Pirate,Zoan
Data/Chopper/2.png_inverted.png,steelblue,cornflowerblue,Chopper,M,Pirate,Zoan
Data/Chopper/27.png_inverted.png,dimgray,darkgray,Chopper,M,Pirate,Zoan
Data/Chopper/1.png,lightsteelblue,gray,Chopper,M,Pirate,Zoan
Data/Chopper/40.png_inverted.png,slategray,lightsteelblue,Chopper,M,Pirate,Zoan
Data/Kizaru/images (3).jpeg,darkolivegreen,antiquewhite,Kizaru,M,Marine,Logia
Data/Kizaru/images (1).jpeg,darkolivegreen,burlywood,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (2).jpeg,darkkhaki,snow,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (3).jpeg,tan,darkolivegreen,Kizaru,M,Marine,Logia
Data/Kizaru/images (2).jpeg,dimgray,linen,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement.jpeg,sienna,tan,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (5).jpeg,lavender,darkslategray,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (8).jpeg,black,whitesmoke,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (1).jpeg,dimgray,lightgray,Kizaru,M,Marine,Logia
Data/Kizaru/perso_anime_53Jyk5WKAdDIFmD.jpg,darkolivegreen,tan,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (6).jpeg,black,gainsboro,Kizaru,M,Marine,Logia
Data/Kizaru/images (4).jpeg,dimgray,whitesmoke,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (4).jpeg,darkslategray,silver,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (9).jpeg,whitesmoke,darkslategray,Kizaru,M,Marine,Logia
Data/Kizaru/images.jpeg,darkslategray,silver,Kizaru,M,Marine,Logia
Data/Kizaru/téléchargement (7).jpeg,darkslategray,gainsboro,Kizaru,M,Marine,Logia
Data/Ace/60.png_inverted.png,lavender,teal,Ace,M,Pirate,Logia
Data/Ace/39.png_inverted.png,darkslategray,powderblue,Ace,M,Pirate,Logia
Data/Ace/55.jpeg_inverted.png,lightblue,darkslategray,Ace,M,Pirate,Logia
Data/Ace/1.jpg_inverted.png,paleturquoise,teal,Ace,M,Pirate,Logia
Data/Ace/20.jpg,peru,gainsboro,Ace,M,Pirate,Logia
Data/Ace/1.jpg,lightsalmon,maroon,Ace,M,Pirate,Logia
Data/Ace/2.jpg_inverted.png,steelblue,lightblue,Ace,M,Pirate,Logia
Data/Ace/166.jpg,darkslategray,whitesmoke,Ace,M,Pirate,Logia
Data/Ace/73.png,black,whitesmoke,Ace,M,Pirate,Logia
Data/Ace/40.png,burlywood,saddlebrown,Ace,M,Pirate,Logia
Data/Ace/197.png,sandybrown,saddlebrown,Ace,M,Pirate,Logia
Data/Ace/75.png,maroon,chocolate,Ace,M,Pirate,Logia
Data/Boahancock/images (3).jpeg,cadetblue,black,Boahancock,F,Pirate,Paramecia
Data/Boahancock/images (1).jpeg,darkslategray,mistyrose,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (2).jpeg,lightgray,darkslategray,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (3).jpeg,darkslategray,whitesmoke,Boahancock,F,Pirate,Paramecia
Data/Boahancock/images (2).jpeg,silver,dimgray,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement.jpeg,rosybrown,darkslategray,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (5).jpeg,black,whitesmoke,Boahancock,F,Pirate,Paramecia
Data/Boahancock/media-59278.jpg,darkgray,darkslategray,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (1).jpeg,tan,maroon,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (6).jpeg,darkslategray,whitesmoke,Boahancock,F,Pirate,Paramecia
Data/Boahancock/images (4).jpeg,darkslategray,whitesmoke,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (4).jpeg,black,gainsboro,Boahancock,F,Pirate,Paramecia
Data/Boahancock/images.jpeg,linen,dimgray,Boahancock,F,Pirate,Paramecia
Data/Boahancock/téléchargement (7).jpeg,darkslateblue,lightpink,Boahancock,F,Pirate,Paramecia
Data/Crocodile/30.png_inverted.png,darkslategray,darkgray,Crocodile,M,Pirate,Logia
Data/Crocodile/33.png_inverted.png,lightgray,slategray,Crocodile,M,Pirate,Logia
Data/Crocodile/11.png,gray,black,Crocodile,M,Pirate,Logia
Data/Crocodile/109.png,white,black,Crocodile,M,Pirate,Logia
Data/Crocodile/25.png,lightslategray,black,Crocodile,M,Pirate,Logia
Data/Crocodile/56.png_inverted.png,darkolivegreen,silver,Crocodile,M,Pirate,Logia
Data/Crocodile/111.png,gainsboro,black,Crocodile,M,Pirate,Logia
Data/Crocodile/63.png_inverted.png,darkslategray,lightgray,Crocodile,M,Pirate,Logia
Data/Crocodile/27.png_inverted.png,dimgray,lightgray,Crocodile,M,Pirate,Logia
Data/Crocodile/45.png,lightgray,darkslategray,Crocodile,M,Pirate,Logia
Data/Crocodile/1.png,darkslategray,silver,Crocodile,M,Pirate,Logia
Data/Crocodile/3.png,rosybrown,darkslategray,Crocodile,M,Pirate,Logia
Data/Crocodile/12.png,lavender,black,Crocodile,M,Pirate,Logia
Data/Law/7.png,lightsteelblue,darkslategray,Law,M,Pirate,Paramecia
Data/Law/143.png,whitesmoke,black,Law,M,Pirate,Paramecia
Data/Law/5.png_inverted.png,steelblue,powderblue,Law,M,Pirate,Paramecia
Data/Law/1.png_inverted.png,dimgray,gainsboro,Law,M,Pirate,Paramecia
Data/Law/3.png_inverted.png,darkgray,darkslategray,Law,M,Pirate,Paramecia
Data/Law/2.png,lightgray,darkolivegreen,Law,M,Pirate,Paramecia
Data/Law/2.png_inverted.png,darkgray,darkslategray,Law,M,Pirate,Paramecia
Data/Law/4.png_inverted.png,lavender,darkslategray,Law,M,Pirate,Paramecia
Data/Law/1.png,black,darkgray,Law,M,Pirate,Paramecia
Data/Law/3.png,silver,darkslategray,Law,M,Pirate,Paramecia
Data/Law/12.png,darkolivegreen,gainsboro,Law,M,Pirate,Paramecia
Data/Sanji/12.jpg,dimgray,burlywood,Sanji,M,Pirate,N
Data/Sanji/8.jpg,silver,dimgray,Sanji,M,Pirate,N
Data/Sanji/[0.39038]inverted.jpg,black,dimgray,Sanji,M,Pirate,N
Data/Sanji/[0.0315332]inverted.jpg,black,darkslategray,Sanji,M,Pirate,N
Data/Sanji/9.jpg,gray,gainsboro,Sanji,M,Pirate,N
Data/Sanji/18.jpg,burlywood,darkolivegreen,Sanji,M,Pirate,N
Data/Sanji/[0.02043299]inverted.jpg,black,dimgray,Sanji,M,Pirate,N
Data/Sanji/13.jpg,linen,darkslategray,Sanji,M,Pirate,N
Data/Sanji/[0.00194409]inverted.jpg,darkslategray,dimgray,Sanji,M,Pirate,N
Data/Sanji/[0.50328]inverted.jpg,dimgray,darkslategray,Sanji,M,Pirate,N
Data/Usopp/63.png,black,ghostwhite,Usopp,M,Pirate,N
Data/Usopp/136.png,darkslategray,gainsboro,Usopp,M,Pirate,N
Data/Usopp/4.png,darkolivegreen,silver,Usopp,M,Pirate,N
Data/Usopp/1.png_inverted.png,darkslategray,darkgray,Usopp,M,Pirate,N
Data/Usopp/189.png,black,gainsboro,Usopp,M,Pirate,N
Data/Usopp/3.png_inverted.png,black,darkgray,Usopp,M,Pirate,N
Data/Usopp/9.png_inverted.png,darkslategray,silver,Usopp,M,Pirate,N
Data/Usopp/9.png,darkgray,darkolivegreen,Usopp,M,Pirate,N
Data/Usopp/2.png,darkolivegreen,lightsteelblue,Usopp,M,Pirate,N
Data/Usopp/2.png_inverted.png,darkgray,darkolivegreen,Usopp,M,Pirate,N
Data/Usopp/4.png_inverted.png,lightsteelblue,darkslategray,Usopp,M,Pirate,N
Data/Usopp/1.png,tan,darkolivegreen,Usopp,M,Pirate,N
Data/Usopp/182.png,whitesmoke,darkslategray,Usopp,M,Pirate,N
Data/Usopp/3.png,whitesmoke,darkolivegreen,Usopp,M,Pirate,N
Data/Zoro/12.jpg,whitesmoke,black,Zoro,M,Pirate,N
Data/Zoro/44.jpg,snow,darkslategray,Zoro,M,Pirate,N
Data/Zoro/22.jpg,purple,orchid,Zoro,M,Pirate,N
Data/Zoro/23.jpg,gainsboro,darkslateblue,Zoro,M,Pirate,N
Data/Zoro/[0.536424]inverted.jpg,silver,darkslategray,Zoro,M,Pirate,N
Data/Zoro/[0.0016795]inverted.jpg,lavender,black,Zoro,M,Pirate,N
Data/Zoro/[0.00120672]inverted.jpg,steelblue,darkgray,Zoro,M,Pirate,N
Data/Zoro/14.jpg,black,lightgray,Zoro,M,Pirate,N
Data/Zoro/15.jpg,darkslategray,whitesmoke,Zoro,M,Pirate,N
Data/Zoro/[0.64128098]inverted.jpg,black,whitesmoke,Zoro,M,Pirate,N
Data/Zoro/[0.0216858]inverted.jpg,darkslategray,thistle,Zoro,M,Pirate,N
Data/Zoro/76.jpg,tan,darkolivegreen,Zoro,M,Pirate,N
Data/Zoro/21.jpg,purple,plum,Zoro,M,Pirate,N
Data/Zoro/13.jpg,whitesmoke,black,Zoro,M,Pirate,N
Data/Zoro/[0.00353379]inverted.jpg,lavender,midnightblue,Zoro,M,Pirate,N
Data/Robin/39.png_inverted.png,lightgray,darkslategray,Robin,F,Pirate,Paramecia
Data/Robin/38.png_inverted.png,dimgray,silver,Robin,F,Pirate,Paramecia
Data/Robin/39.png,darkgray,darkslategray,Robin,F,Pirate,Paramecia
Data/Robin/66.jpeg,darkslategray,whitesmoke,Robin,F,Pirate,Paramecia
Data/Robin/65.jpeg,darkslategray,lavender,Robin,F,Pirate,Paramecia
Data/Robin/105.jpg,black,whitesmoke,Robin,F,Pirate,Paramecia
Data/Robin/5.jpg,darkslategray,gainsboro,Robin,F,Pirate,Paramecia
Data/Robin/158.png,darkslategray,lavender,Robin,F,Pirate,Paramecia
Data/Robin/37.png_inverted.png,black,lightgray,Robin,F,Pirate,Paramecia
Data/Robin/38.png,darkgray,darkslategray,Robin,F,Pirate,Paramecia
Data/Robin/21.jpg,snow,black,Robin,F,Pirate,Paramecia
Data/Robin/5.jpg_inverted.png,lightgray,darkslategray,Robin,F,Pirate,Paramecia
Data/Robin/40.png,darkslategray,tan,Robin,F,Pirate,Paramecia
Data/Robin/40.png_inverted.png,silver,darkslategray,Robin,F,Pirate,Paramecia
Data/Robin/37.png,antiquewhite,darkslategray,Robin,F,Pirate,Paramecia
Data/Bigmom/charlotte-linlin-big-mom-one-piece-1997.jpg,whitesmoke,darkslategray,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/images (3).jpeg,indianred,pink,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/images (1).jpeg,lightpink,darkslategray,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (2).jpeg,wheat,indianred,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/34826d1689847296dcb882427dd30ce5.png,lightgray,rosybrown,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (10).jpeg,lightgray,indianred,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (3).jpeg,gainsboro,black,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/images (2).jpeg,wheat,indianred,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement.jpeg,sienna,silver,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (5).jpeg,darkslategray,lightgray,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (1).jpeg,thistle,indianred,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (6).jpeg,darkslategray,whitesmoke,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/images (4).jpeg,lavender,darkslategray,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/téléchargement (4).jpeg,darkslategray,gainsboro,Charlotte Linlin,F,Pirate,Paramecia
Data/Bigmom/images.jpeg,purple,burlywood,Charlotte Linlin,F,Pirate,Paramecia
